WDJname,GaiaEDR3,Pwd,amax,MassH,e_MassH,MassHe,e_MassHe,Massmix,e_Massmix,rgeo,Radius (pc),Radius (m),Mass (kg)
WDJ003243.25+340609.69,3.65E+17,0.995695,0.492071,0.431509,3.06E-01,0.488573,0.282742,0.491742,0.285702,813.9139,0.4005034,1.24E+16,8.16E+29
WDJ003559.05+010941.62,2.54E+18,0.980845,0.66845,0.431581,1.35E-01,0.414238,0.117437,0.391216,0.132417,395.3406,0.2642654,8.15E+15,8.16E+29
WDJ002641.24+433223.18,3.83E+17,0.998668,0.100247,0.431629,2.54E-02,0.436274,0.029533,0.435664,0.03119,176.0741,0.0176509,5.45E+14,8.16E+29
WDJ004151.97-474848.20,4.98E+18,0.973188,0.685155,0.431682,2.66E-01,0.416589,0.245976,0.38501,0.290548,588.0409,0.4028991,1.24E+16,8.16E+29
WDJ003822.25+510838.67,4.16E+17,0.991454,0.320125,0.431696,7.59E-02,0.437424,0.077416,0.435213,0.085793,371.9,0.1190545,3.67E+15,8.16E+29
WDJ004940.72+570709.51,4.24E+17,0.983856,0.412319,0.432003,1.78E-01,0.464418,0.163238,0.46667,0.164522,737.4871,0.3040799,9.38E+15,8.17E+29
WDJ004215.61+484227.17,3.91E+17,0.951203,0.581888,0.432099,1.64E-01,0.414957,0.142965,0.387223,0.162791,424.3716,0.2469367,7.62E+15,8.17E+29
WDJ003218.56+520009.60,4.16E+17,0.982574,0.356106,0.432507,7.17E-02,0.423802,0.056905,0.406938,0.065262,340.4828,0.121248,3.74E+15,8.18E+29
WDJ002533.07+623338.71,4.31E+17,0.979519,0.242871,0.432679,3.52E-02,0.422429,0.040476,0.4014,0.047879,255.4613,0.0620441,1.91E+15,8.18E+29
WDJ004023.51-064241.52,2.52E+18,0.947496,0.815197,0.432897,2.09E-01,0.423094,0.195257,0.391508,0.23877,401.6354,0.3274119,1.01E+16,8.19E+29
WDJ003853.84+103758.03,2.75E+18,0.962915,0.77081,0.433019,1.59E-01,0.423224,0.142206,,,173.0494,0.1333882,4.12E+15,8.19E+29
WDJ002530.54+155259.71,2.79E+18,0.972689,0.709508,0.433221,1.50E-01,0.428147,0.147938,0.414426,0.173605,456.1474,0.3236402,9.99E+15,8.19E+29
WDJ003229.87-542415.04,4.92E+18,0.996382,0.274284,0.433222,7.75E-02,0.431298,0.07981,0.425732,0.094247,395.2731,0.1084171,3.35E+15,8.19E+29
WDJ003855.69+140412.21,2.78E+18,0.982273,0.786881,0.433223,2.59E-01,0.444247,0.298495,0.443495,0.314732,618.8699,0.4869769,1.50E+16,8.19E+29
WDJ004600.35-141610.25,2.37E+18,0.958421,0.534888,0.433838,1.18E-01,0.423492,0.097962,0.368484,0.09251,202.0256,0.1080611,3.33E+15,8.20E+29
WDJ003105.85+010600.05,2.54E+18,0.946894,0.613228,0.433964,2.02E-01,0.431544,0.177305,0.371213,0.140386,264.9937,0.1625016,5.01E+15,8.21E+29
WDJ004026.10+524857.11,4.16E+17,0.924613,0.925206,0.434069,3.98E-01,0.426984,0.390018,0.373487,0.354479,333.5193,0.3085741,9.52E+15,8.21E+29
WDJ002812.59+393826.25,3.79E+17,0.97313,0.453333,0.434074,1.58E-01,0.417666,0.145684,0.396076,0.1683,400.9011,0.1817417,5.61E+15,8.21E+29
WDJ002543.66+220245.74,2.80E+18,0.947793,0.494482,0.434107,8.99E-02,0.422936,0.070397,0.370202,0.078905,190.4938,0.0941958,2.91E+15,8.21E+29
WDJ003734.92+485043.48,3.91E+17,0.949541,0.828349,0.434212,3.47E-01,0.433953,0.367332,,,661.0632,0.547591,1.69E+16,8.21E+29
WDJ003433.53+210116.89,2.80E+18,0.9893,0.93421,0.434339,3.88E-01,0.444355,0.441286,,,953.4942,0.8907637,2.75E+16,8.21E+29
WDJ003009.88+310657.04,2.86E+18,0.929403,1.237504,0.434505,3.17E-01,0.424923,0.301578,,,314.1403,0.3887498,1.20E+16,8.22E+29
WDJ002913.73-395851.26,4.99E+18,0.914807,0.775928,0.434591,3.40E-01,0.424732,0.327689,0.369759,0.272309,328.1861,0.2546488,7.86E+15,8.22E+29
WDJ004248.09+401934.22,3.69E+17,0.972121,0.534255,0.43463,2.37E-01,0.425671,0.233089,0.402835,0.275916,561.2975,0.299876,9.25E+15,8.22E+29
WDJ004559.67-800827.99,4.63E+18,0.987565,0.438492,0.434683,1.31E-01,0.420453,0.138282,0.408909,0.176359,446.3434,0.195718,6.04E+15,8.22E+29
WDJ002958.03+613159.73,4.30E+17,0.894802,0.876185,0.434751,4.24E-01,,,,,912.9153,0.7998826,2.47E+16,8.22E+29
WDJ002805.21-253652.34,2.35E+18,0.960113,1.22615,0.43482,4.09E-01,0.409097,0.37809,0.34938,0.312757,399.1497,0.4894173,1.51E+16,8.22E+29
WDJ003723.11-315353.49,5.01E+18,0.982331,0.345508,0.434854,8.28E-02,0.411029,0.067553,0.36188,0.076551,260.5736,0.0900303,2.78E+15,8.22E+29
WDJ004938.42+130649.48,2.78E+18,0.977895,1.000333,0.43489,2.56E-01,0.442761,0.30488,0.43932,0.336396,623.1135,0.6233209,1.92E+16,8.22E+29
WDJ003433.48-802108.08,4.63E+18,0.940203,0.534101,0.434932,2.17E-01,0.419988,0.190382,0.360453,0.141281,277.7813,0.1483632,4.58E+15,8.22E+29
WDJ002845.64-471730.45,4.98E+18,0.972842,1.053813,0.43503,3.79E-01,0.43467,0.378899,,,765.4371,0.8066275,2.49E+16,8.23E+29
WDJ004329.23+114825.08,2.78E+18,0.943168,0.590484,0.435276,1.27E-01,0.418294,0.097181,0.377088,0.101415,312.5413,0.1845506,5.70E+15,8.23E+29
WDJ003453.85-013051.99,2.54E+18,0.910947,0.950182,0.43547,3.56E-01,0.429144,0.330857,0.369561,0.293581,387.3039,0.3680091,1.14E+16,8.23E+29
WDJ002545.76+732130.37,5.38E+17,0.965572,0.818231,0.435486,3.59E-01,0.440794,0.409862,0.441034,0.423679,635.9143,0.5203247,1.61E+16,8.24E+29
WDJ004017.57-543452.46,4.92E+18,0.998751,0.260706,0.435748,9.22E-02,0.440194,0.09165,0.439741,0.096078,374.2366,0.0975657,3.01E+15,8.24E+29
WDJ004521.05-220140.95,2.35E+18,0.965477,1.146083,0.435769,2.90E-01,0.423087,0.271461,0.388488,0.315139,622.3747,0.7132929,2.20E+16,8.24E+29
WDJ003823.09+181141.03,2.79E+18,0.973547,0.653081,0.436295,1.97E-01,0.437394,0.225495,0.429784,0.269073,516.5889,0.3373744,1.04E+16,8.25E+29
WDJ003032.33+780444.06,5.64E+17,0.955297,0.389189,0.436484,6.16E-02,0.425131,0.060127,,,153.6478,0.059798,1.85E+15,8.25E+29
WDJ004548.23+000507.91,2.54E+18,0.966274,0.704351,0.436577,1.41E-01,0.419062,0.111293,0.374047,0.111801,319.5849,0.2250999,6.95E+15,8.26E+29
WDJ003520.46+374307.75,3.67E+17,0.896464,0.999113,0.436648,4.34E-01,0.427778,0.422812,,,388.2736,0.3879292,1.20E+16,8.26E+29
WDJ004057.00-114553.58,2.38E+18,0.951787,1.087266,0.436784,2.77E-01,0.415258,0.235731,0.368063,0.257079,475.6428,0.5171501,1.60E+16,8.26E+29
WDJ004448.36-690936.37,4.70E+18,0.956148,0.521345,0.43687,1.98E-01,0.429807,0.180074,0.371902,0.133315,301.173,0.157015,4.85E+15,8.26E+29
WDJ004745.52-664231.66,4.71E+18,0.996236,0.240849,0.436871,5.79E-02,0.437437,0.060089,0.43026,0.078305,299.7555,0.0721958,2.23E+15,8.26E+29
WDJ002800.09-373353.15,5.00E+18,0.948198,0.851465,0.437306,2.55E-01,0.426639,0.236236,,,259.718,0.2211408,6.82E+15,8.27E+29
WDJ004634.01-343234.21,5.01E+18,0.999028,0.385571,0.437595,1.37E-01,0.459304,0.166749,0.459458,0.165828,464.1799,0.1789743,5.52E+15,8.27E+29
WDJ003755.43+295521.56,2.86E+18,0.973277,0.269916,0.437637,1.07E-01,0.445464,0.091976,0.416159,0.124507,212.4184,0.0573351,1.77E+15,8.28E+29
WDJ004413.74-484110.26,4.97E+18,0.993322,0.520254,0.437689,1.93E-01,0.438997,0.212769,0.43696,0.232938,530.8046,0.2761532,8.52E+15,8.28E+29
WDJ002848.38-184734.73,2.36E+18,0.997449,0.678994,0.437738,2.68E-01,0.481059,0.370031,0.482091,0.378514,677.2531,0.4598508,1.42E+16,8.28E+29
WDJ004854.69-360145.64,5.00E+18,0.947418,1.267311,0.437764,2.54E-01,0.432672,0.217783,,,170.0743,0.2155369,6.65E+15,8.28E+29
WDJ003242.63-423649.44,4.99E+18,0.995293,0.724538,0.437883,2.95E-01,0.450541,0.342928,0.450433,0.352078,608.9775,0.4412273,1.36E+16,8.28E+29
WDJ004121.93-231621.42,2.35E+18,0.970678,1.061585,0.438668,4.19E-01,,,,,689.7925,0.7322733,2.26E+16,8.30E+29
WDJ003755.00-392559.95,5.00E+18,0.999372,0.173685,0.438999,2.78E-02,0.432559,0.034475,0.430607,0.036948,231.4489,0.0401992,1.24E+15,8.30E+29
WDJ003433.12+044020.09,2.55E+18,0.975476,0.459416,0.439017,1.28E-01,0.424917,0.101737,0.365998,0.092883,219.6849,0.1009267,3.11E+15,8.30E+29
WDJ004812.58-724752.55,4.69E+18,0.981439,0.713739,0.43922,1.63E-01,0.439106,0.161159,0.426191,0.188711,492.0634,0.3512048,1.08E+16,8.31E+29
WDJ004148.65+072440.77,2.56E+18,0.930278,1.365081,0.439232,3.54E-01,0.42887,0.337083,,,262.2933,0.3580515,1.11E+16,8.31E+29
WDJ005015.72+435327.97,3.76E+17,0.902056,0.437026,0.439244,2.43E-01,0.486654,0.258056,0.472737,0.341778,323.1267,0.1412148,4.36E+15,8.31E+29
WDJ004026.61+522109.05,4.16E+17,0.990629,0.530354,0.439929,1.81E-01,0.461528,0.210548,0.461462,0.2098,587.748,0.3117145,9.62E+15,8.32E+29
WDJ004813.28+374147.95,3.67E+17,0.995255,0.433112,0.439987,3.40E-01,0.481553,0.35231,0.484181,0.355239,830.9104,0.3598773,1.11E+16,8.32E+29
WDJ004624.41+384350.63,3.68E+17,0.998316,0.402644,0.440065,1.65E-01,0.53672,0.16443,0.540126,0.166748,613.7634,0.2471281,7.63E+15,8.32E+29
WDJ004546.53+263225.15,2.81E+18,0.997871,0.635883,0.440071,2.07E-01,0.465659,0.257731,0.465547,0.25903,572.1818,0.3638406,1.12E+16,8.32E+29
WDJ004517.18-653424.16,4.71E+18,0.999363,0.275962,0.440378,5.82E-02,0.442639,0.050855,0.442217,0.054614,319.0257,0.088039,2.72E+15,8.33E+29
WDJ004019.36+353931.38,3.66E+17,0.98531,0.458882,0.44066,1.81E-01,0.417071,0.16883,0.397062,0.196243,456.6042,0.2095274,6.47E+15,8.33E+29
WDJ003631.91+132927.78,2.78E+18,0.870011,1.43496,0.440988,4.16E-01,,,,,729.7958,1.0472275,3.23E+16,8.34E+29
WDJ003841.24-274057.11,2.34E+18,0.998751,0.477415,0.440999,1.85E-01,0.530211,0.212901,0.529767,0.216403,661.7608,0.3159345,9.75E+15,8.34E+29
WDJ004012.36-482327.10,4.98E+18,0.998148,0.424993,0.441195,2.32E-01,0.459778,0.31179,0.460645,0.317429,758.9694,0.3225567,9.95E+15,8.34E+29
WDJ004502.30+800328.71,5.66E+17,0.977769,0.432067,0.441316,1.25E-01,0.44996,0.136635,0.449731,0.136502,418.6714,0.1808941,5.58E+15,8.35E+29
WDJ004348.60+081619.21,2.56E+18,0.991049,0.945295,0.441388,3.48E-01,0.461537,0.446071,0.46214,0.453754,680.4048,0.6431832,1.99E+16,8.35E+29
WDJ003425.77-762550.13,4.68E+18,0.957244,1.03738,0.441426,2.99E-01,0.425413,0.300026,0.401597,0.393398,488.0278,0.5062702,1.56E+16,8.35E+29
WDJ004608.69+631705.39,5.24E+17,0.964638,0.242854,0.441503,4.67E-02,0.438351,0.045003,0.379243,0.043966,154.9103,0.0376206,1.16E+15,8.35E+29
WDJ003756.92+390036.82,3.69E+17,0.986861,0.161075,0.441508,7.56E-02,,,,,658.5792,0.1060806,3.27E+15,8.35E+29
WDJ002925.48+515945.38,4.16E+17,0.928155,1.069294,0.441921,2.94E-01,0.430565,0.27584,,,318.8015,0.3408925,1.05E+16,8.36E+29
WDJ004056.01+800223.49,5.65E+17,0.836814,1.212799,0.441998,3.43E-01,0.43358,0.296964,0.37704,0.29637,399.1146,0.4840457,1.49E+16,8.36E+29
WDJ004852.59+055450.17,2.56E+18,0.997962,0.553409,0.442196,1.18E-01,0.458621,0.130908,0.458197,0.130167,452.0927,0.2501922,7.72E+15,8.36E+29
WDJ004756.86-465001.89,4.98E+18,0.945524,0.769813,0.442219,2.50E-01,0.430359,0.22938,0.374369,0.176633,353.5219,0.2721457,8.40E+15,8.36E+29
WDJ004859.81+532731.04,4.17E+17,0.996218,0.244566,0.44231,7.16E-02,0.487163,0.062344,0.492393,0.064925,485.7382,0.118795,3.67E+15,8.36E+29
WDJ003325.39-042208.06,2.53E+18,0.924917,1.150734,0.442865,2.99E-01,0.427443,0.259111,0.372119,0.247267,443.5436,0.5104006,1.58E+16,8.37E+29
WDJ004245.03-572055.24,4.91E+18,0.998804,0.38248,0.443024,1.71E-01,0.498106,0.212897,0.499215,0.215842,616.5071,0.2358016,7.28E+15,8.38E+29
WDJ003449.55-462406.03,4.98E+18,0.960321,0.716549,0.443036,2.70E-01,0.417584,0.228709,0.368495,0.227588,497.4625,0.3564562,1.10E+16,8.38E+29
WDJ004727.39+544138.11,4.18E+17,0.948509,0.780306,0.443108,2.55E-01,0.433213,0.236536,,,280.818,0.219124,6.76E+15,8.38E+29
WDJ003728.03+200430.17,2.80E+18,0.96985,0.615375,0.443147,1.09E-01,0.431908,0.089561,,,174.685,0.1074968,3.32E+15,8.38E+29
WDJ003537.90-754227.51,4.68E+18,0.998144,0.288906,0.443422,8.33E-02,0.447631,0.082146,0.446504,0.088559,400.8884,0.1158191,3.57E+15,8.39E+29
WDJ004624.78-775333.20,4.64E+18,0.998742,0.270257,0.443787,8.50E-02,0.456306,0.101585,0.456471,0.101249,394.7197,0.1066758,3.29E+15,8.39E+29
WDJ002939.16+402853.05,3.81E+17,0.904258,0.935036,0.443954,4.12E-01,0.427136,0.375243,,,505.6217,0.4727745,1.46E+16,8.40E+29
WDJ003221.40-142332.57,2.37E+18,0.925146,1.376021,0.444051,3.58E-01,0.444843,0.33229,0.385572,0.306922,372.5993,0.5127043,1.58E+16,8.40E+29
WDJ004028.69-032131.43,2.53E+18,0.951849,1.874085,0.444407,4.32E-01,,,,,769.65,1.4423886,4.45E+16,8.40E+29
WDJ004938.77-681832.45,4.70E+18,0.998265,0.088145,0.444505,1.82E-02,0.629061,0.050211,0.639959,0.052854,178.7613,0.0157569,4.86E+14,8.41E+29
WDJ005002.99-145929.21,2.37E+18,0.989844,0.903478,0.444799,2.08E-01,0.429852,0.197947,0.412732,0.217955,559.9388,0.5058924,1.56E+16,8.41E+29
WDJ003616.50+463630.99,3.89E+17,0.966564,1.00555,0.444834,3.71E-01,0.450801,0.434781,,,1524.333,1.5327928,4.73E+16,8.41E+29
WDJ004538.82+602319.89,4.27E+17,0.926721,0.765459,0.445313,4.21E-01,,,,,1902.788,1.4565063,4.49E+16,8.42E+29
WDJ003036.61-135644.17,2.37E+18,0.996149,0.516555,0.445398,1.65E-01,0.415394,0.146437,0.396227,0.168786,443.7038,0.2291974,7.07E+15,8.42E+29
WDJ003136.25-691152.50,4.70E+18,0.974557,0.390607,0.445399,7.31E-02,0.443157,0.055764,0.388845,0.061332,155.5113,0.0607438,1.87E+15,8.42E+29
WDJ004550.92+312523.02,3.61E+17,0.973261,0.498955,0.445583,1.62E-01,0.428716,0.144942,0.405232,0.167396,433.0899,0.2160924,6.67E+15,8.43E+29
WDJ003555.07+300709.85,2.86E+18,0.976713,0.568752,0.445783,1.50E-01,0.419922,0.116677,0.380908,0.132894,289.5781,0.1646981,5.08E+15,8.43E+29
WDJ002850.93+292916.62,2.86E+18,0.940829,1.180234,0.445868,3.15E-01,0.441824,0.288666,0.385409,0.274648,424.1424,0.5005872,1.55E+16,8.43E+29
WDJ003448.61-294908.28,2.32E+18,0.999176,0.350911,0.446142,1.07E-01,0.464654,0.120367,0.465017,0.119893,399.0407,0.1400278,4.32E+15,8.44E+29
WDJ004652.11-725533.37,4.69E+18,0.759448,0.389896,0.446215,4.33E-01,0.19766,0.188508,0.19815,0.191202,1318.94,0.5142494,1.59E+16,8.44E+29
WDJ004810.98+151336.58,2.78E+18,0.898559,1.050617,0.446364,4.02E-01,0.439129,0.374348,,,496.3915,0.5215173,1.61E+16,8.44E+29
WDJ003854.23+155617.93,2.78E+18,0.998078,0.51338,0.446486,2.16E-01,0.47951,0.323182,0.480612,0.330018,586.1152,0.3008998,9.29E+15,8.44E+29
WDJ003748.61-350623.62,5.00E+18,0.951469,1.19952,0.446495,3.30E-01,0.438599,0.318969,0.385835,0.280982,327.881,0.3932997,1.21E+16,8.44E+29
WDJ002905.55-433120.24,4.99E+18,0.902187,1.147709,0.446628,4.16E-01,0.436527,0.40283,,,305.0219,0.3500762,1.08E+16,8.45E+29
WDJ003007.46+103452.52,2.75E+18,0.990826,0.397715,0.446644,8.18E-02,0.466912,0.089403,0.467038,0.089633,325.8522,0.1295963,4.00E+15,8.45E+29
WDJ003557.25-435147.23,4.98E+18,0.998214,0.35155,0.44669,1.93E-01,0.447308,0.205536,0.447247,0.214454,514.2827,0.1807961,5.58E+15,8.45E+29
WDJ005025.14+211931.42,2.80E+18,0.973061,0.941019,0.446711,3.90E-01,,,,,708.9238,0.6671107,2.06E+16,8.45E+29
WDJ003207.87+771542.22,5.64E+17,0.880855,0.82916,0.446813,2.43E-01,0.445797,0.288514,0.436409,0.36517,545.0338,0.4519201,1.39E+16,8.45E+29
WDJ003226.97+500811.24,3.92E+17,0.993819,0.295299,0.44694,6.89E-02,0.454046,0.069032,0.451824,0.07548,332.5899,0.0982135,3.03E+15,8.45E+29
WDJ003843.05-130832.52,2.38E+18,0.947749,1.412968,0.44712,3.36E-01,0.435408,0.320169,,,194.9245,0.2754221,8.50E+15,8.46E+29
WDJ004631.83-131814.48,2.38E+18,0.998514,0.797413,0.447273,2.46E-01,0.470994,0.319069,0.471751,0.325576,591.3718,0.4715675,1.46E+16,8.46E+29
WDJ004611.82-623936.52,4.90E+18,0.955636,0.571752,0.447435,2.56E-01,0.437589,0.237907,0.383868,0.202085,280.0555,0.1601223,4.94E+15,8.46E+29
WDJ002611.94-094613.39,2.43E+18,0.998569,0.352716,0.447617,1.07E-01,0.465745,0.119103,0.465597,0.121001,326.364,0.1151138,3.55E+15,8.46E+29
WDJ002634.79+335146.06,2.86E+18,0.931983,1.135174,0.447802,3.53E-01,0.438345,0.343948,0.386338,0.300859,310.6206,0.3526084,1.09E+16,8.47E+29
WDJ003924.56+671854.44,5.29E+17,0.961205,0.276904,0.447992,4.59E-02,0.436739,0.044153,0.380991,0.041394,158.7443,0.0439569,1.36E+15,8.47E+29
WDJ004306.23-055537.49,2.52E+18,0.96887,0.862023,0.44804,1.15E-01,0.459036,0.093442,,,106.174,0.0915244,2.82E+15,8.47E+29
WDJ003121.22-184745.44,2.36E+18,0.997082,0.453096,0.448074,7.02E-02,0.450895,0.067665,0.447033,0.074878,358.6472,0.1625016,5.01E+15,8.47E+29
WDJ003800.64-512022.68,4.93E+18,0.923608,1.13036,0.448186,3.91E-01,0.436271,0.379662,,,266.2055,0.300908,9.29E+15,8.48E+29
WDJ003424.36+210248.09,2.80E+18,0.963508,0.879258,0.448399,3.44E-01,0.441514,0.393746,,,609.5732,0.5359721,1.65E+16,8.48E+29
WDJ004251.24-363848.05,5.00E+18,0.992026,0.597519,0.448699,4.37E-01,0.640103,0.407692,0.647611,0.409493,977.4585,0.58405,1.80E+16,8.48E+29
WDJ004737.18-244059.96,2.35E+18,0.984955,1.354525,0.448837,1.48E-01,0.453277,0.135068,0.400266,0.109495,172.5633,0.2337412,7.21E+15,8.49E+29
WDJ004743.03+582128.08,4.25E+17,0.965928,0.611422,0.448943,3.29E-01,0.489767,0.342616,0.492998,0.345665,1201.568,0.7346648,2.27E+16,8.49E+29
WDJ003040.30+421255.21,3.82E+17,0.956309,0.696317,0.448998,2.69E-01,0.440121,0.239264,0.391197,0.251416,391.718,0.2727599,8.42E+15,8.49E+29
WDJ002651.28-102313.07,2.43E+18,0.990356,0.725164,0.449045,2.44E-01,0.434767,0.270259,0.424853,0.329028,531.0959,0.3851316,1.19E+16,8.49E+29
WDJ003508.27+135045.32,2.78E+18,0.996742,0.108833,0.449076,2.68E-02,0.549733,0.058043,0.488067,0.024264,241.7857,0.0263143,8.12E+14,8.49E+29
WDJ003846.20-221631.16,2.35E+18,0.998907,0.393275,0.449534,8.59E-02,0.454535,0.082963,0.454321,0.086465,359.218,0.1412715,4.36E+15,8.50E+29
WDJ003255.86-420210.83,4.99E+18,0.988441,0.904225,0.449626,3.36E-01,0.449175,0.395093,0.447468,0.438779,746.1985,0.6747313,2.08E+16,8.50E+29
WDJ002703.39+204342.94,2.80E+18,0.964698,0.439687,0.449734,1.51E-01,0.436899,0.128482,0.379935,0.092116,221.0632,0.0971986,3.00E+15,8.50E+29
WDJ003035.56+025609.10,2.55E+18,0.979007,0.989539,0.449824,3.13E-01,0.441948,0.344859,0.430475,0.421799,716.225,0.7087325,2.19E+16,8.51E+29
WDJ004506.31+110913.77,2.77E+18,0.882615,1.541092,0.449928,3.83E-01,0.440347,0.372155,0.385814,0.320028,396.4185,0.6109172,1.89E+16,8.51E+29
WDJ002732.42-883020.52,4.61E+18,0.956025,0.786258,0.450065,2.57E-01,0.450585,0.32273,0.447143,0.373809,552.2986,0.4342491,1.34E+16,8.51E+29
WDJ003122.87-653716.25,4.71E+18,0.937105,0.95209,0.450353,3.75E-01,0.436838,0.363485,,,313.4614,0.2984434,9.21E+15,8.52E+29
WDJ003843.40+615621.94,4.28E+17,0.978373,0.46659,0.450809,2.88E-01,0.491258,0.240854,0.494829,0.242801,750.6157,0.3502297,1.08E+16,8.52E+29
WDJ004928.93-145907.64,2.37E+18,0.983996,0.467382,0.450862,9.41E-02,0.425994,0.060009,0.376659,0.080326,253.2127,0.118347,3.65E+15,8.53E+29
WDJ004241.35-663139.36,4.71E+18,0.998739,0.511342,0.450982,2.38E-01,0.508689,0.322848,0.509643,0.326533,685.5851,0.3505684,1.08E+16,8.53E+29
WDJ004237.75+305318.71,3.61E+17,0.999113,0.432062,0.451111,2.38E-01,0.506334,0.332468,0.505621,0.338731,472.3073,0.204066,6.30E+15,8.53E+29
WDJ004314.04-005445.47,2.53E+18,0.998905,0.452567,0.451444,9.50E-02,0.535134,0.107684,0.53791,0.109548,480.5304,0.2174722,6.71E+15,8.54E+29
WDJ002737.37-795457.71,4.63E+18,0.982295,0.495912,0.451614,1.29E-01,0.476247,0.115422,,,92.1587,0.0457026,1.41E+15,8.54E+29
WDJ003706.45+115620.81,2.78E+18,0.973811,0.35417,0.451743,6.35E-02,0.439667,0.043359,,,126.1316,0.044672,1.38E+15,8.54E+29
WDJ004325.92-443727.12,4.98E+18,0.986508,0.725579,0.451744,3.45E-01,0.446743,0.38228,0.442854,0.421312,711.6948,0.5163907,1.59E+16,8.54E+29
WDJ004959.16-352953.83,5.00E+18,0.95249,0.86798,0.451971,2.17E-01,0.435406,0.189283,0.377287,0.150099,328.2965,0.2849548,8.79E+15,8.55E+29
WDJ004227.00+053348.47,2.56E+18,0.913328,1.252579,0.45212,4.01E-01,0.442216,0.389796,0.388981,0.356567,357.4352,0.4477158,1.38E+16,8.55E+29
WDJ002556.53+261445.52,2.86E+18,0.961641,0.644983,0.45215,2.02E-01,0.435491,0.167298,0.382822,0.157551,351.6222,0.2267903,7.00E+15,8.55E+29
WDJ003303.11+474434.39,3.91E+17,0.955791,0.428962,0.452182,1.78E-01,0.446889,0.146987,0.395602,0.147118,304.3911,0.1305722,4.03E+15,8.55E+29
WDJ002522.42-120159.95,2.42E+18,0.959874,0.55068,0.452281,1.25E-01,0.440571,0.104985,0.384123,0.094072,212.2567,0.1168855,3.61E+15,8.55E+29
WDJ003049.80-655246.15,4.71E+18,0.977105,0.501427,0.452493,1.43E-01,0.453777,0.111996,,,120.0972,0.06022,1.86E+15,8.56E+29
WDJ003555.41-295147.44,2.32E+18,0.984166,0.768259,0.452495,1.80E-01,0.470245,0.156621,,,112.27,0.0862524,2.66E+15,8.56E+29
WDJ002839.41+065529.97,2.75E+18,0.994348,0.201341,0.45273,5.98E-02,0.491008,0.088804,0.493972,0.090002,485.7232,0.097796,3.02E+15,8.56E+29
WDJ004331.42+481026.13,3.90E+17,0.959664,0.506478,0.452757,1.77E-01,0.444148,0.174889,0.42483,0.203808,417.5002,0.2114547,6.53E+15,8.56E+29
WDJ002958.16-803934.50,4.63E+18,0.964423,1.223535,0.45291,4.34E-01,0.438179,0.399245,,,204.0853,0.2497055,7.71E+15,8.56E+29
WDJ004759.61-553546.59,4.92E+18,0.997942,0.38412,0.452912,1.25E-01,0.45922,0.13183,0.458453,0.139533,452.2966,0.1737362,5.36E+15,8.56E+29
WDJ004216.73+745816.71,5.39E+17,0.971515,0.364643,0.45302,1.62E-01,0.46885,0.197793,0.468454,0.201559,322.2914,0.1175213,3.63E+15,8.57E+29
WDJ003232.07+153126.61,2.78E+18,0.968726,0.762279,0.45308,2.10E-01,0.450253,0.218302,0.436114,0.259785,450.3093,0.3432613,1.06E+16,8.57E+29
WDJ003627.22+270008.23,2.81E+18,0.998698,0.336206,0.453424,1.03E-01,0.471378,0.105658,0.474539,0.106414,449.74,0.1512053,4.67E+15,8.57E+29
WDJ003422.53-681446.84,4.70E+18,0.968816,0.276533,0.453633,1.01E-01,0.441667,0.080414,0.388619,0.079012,175.8505,0.0486285,1.50E+15,8.58E+29
WDJ003205.74+335623.22,3.65E+17,0.999008,0.094445,0.453983,1.53E-02,0.445476,0.020519,0.4455,0.020865,144.1306,0.0136124,4.20E+14,8.58E+29
WDJ004545.91+130201.02,2.78E+18,0.9673,0.792027,0.454143,3.91E-01,0.451767,0.427553,0.451096,0.439811,777.7015,0.6159606,1.90E+16,8.59E+29
WDJ004854.76+185212.64,2.79E+18,0.976285,0.449296,0.454585,1.46E-01,0.432491,0.103555,0.374923,0.103633,238.1429,0.1069967,3.30E+15,8.60E+29
WDJ002846.58+235312.40,2.81E+18,0.998908,0.481376,0.454709,1.80E-01,0.486817,0.258216,0.487896,0.26625,516.9376,0.2488413,7.68E+15,8.60E+29
WDJ004414.08-163054.66,2.37E+18,0.970782,0.556547,0.454897,1.51E-01,0.443307,0.120937,0.385404,0.098733,224.9118,0.125174,3.86E+15,8.60E+29
WDJ002657.98+454509.20,3.89E+17,0.976632,0.227429,0.454901,6.23E-02,0.437704,0.0501,0.386962,0.056466,222.1363,0.0505202,1.56E+15,8.60E+29
WDJ003618.34-240521.93,2.35E+18,0.955694,0.703313,0.455009,2.68E-01,0.441265,0.243692,0.38329,0.192239,294.8254,0.2073545,6.40E+15,8.60E+29
WDJ004200.48+241647.42,2.81E+18,0.999196,0.395133,0.455016,9.89E-02,0.465383,0.102735,0.465078,0.104525,378.5488,0.1495771,4.62E+15,8.60E+29
WDJ002548.66+160456.59,2.79E+18,0.947343,1.215372,0.455084,3.51E-01,0.451079,0.377567,,,616.3555,0.7491011,2.31E+16,8.61E+29
WDJ003212.94+155713.44,2.78E+18,0.937869,0.678523,0.455106,2.32E-01,0.452962,0.20344,0.405888,0.214716,386.2205,0.2620595,8.09E+15,8.61E+29
WDJ004201.35+690754.90,5.30E+17,0.877513,0.51157,0.455145,1.54E-01,0.462616,0.165743,0.462425,0.164908,398.5858,0.2039045,6.29E+15,8.61E+29
